M_G(mesecGodina),NT1(minimalnaOsnovicaZaDoprinose),NT2(minimalnaBrutoZarada),P1(PorezNaLicnaPrimanja),STOPA6(StopaZaUtvrdjivanjeMaksimalneOsnoviceZaDoprinose),STOPA1(koeficijent NETO na Bruto1),STOPA2(minNetoZaradaPoSatu)
0113,"18865,9","28683,14","0,12",15,"1,426533523",115
0213,"16405,1","24745,9","0,12",15,"1,426533523",115
0313,"17225,35","26058,31","0,12",15,"1,426533523",115
0413,"18045,6","27370,72","0,12",15,"1,426533523",115
0513,"18865,9","28683,14","0,1",15,"1,426533523",115
0613,"16405,1","24365,19","0,1",15,"1,426533523",115
0713,"18865,9","28302,42","0,1",15,"1,426533523",115
0813,"18045,6","26990,01","0,1",15,"1,426533523",115
0913,"17225,35","25677,6","0,1",15,"1,426533523",115
1013,"18865,9","28302,42","0,1",15,"1,426533523",115
1113,"17225,35","25677,6","0,1",15,"1,426533523",115
1213,"18045,65","26990,01","0,1",15,"1,426533523",115
0114,"18865,9","28261,05","0,1",15,"1,426533523",115
0214,"16405,1","24323,76","0,1",15,"1,426533523",115
0314,"17225,35","25636,17","0,1",15,"1,426533523",115
0414,"18045,6","26948,58","0,1",15,"1,426533523",115
0514,"18045,6","26948,58","0,1",15,"1,426533523",115
0614,"17225,35","25636,17","0,1",15,"1,426533523",115
0714,"18865,9","28260,99","0,1",15,"1,426533523",115
0814,"17225,35","25636,17","0,1",15,"1,426533523",115
0914,"18045,6",21716,"0,1",15,"1,426533523",115
1014,"18865,9","28260,99","0,1",15,"1,426533523",115
1114,"16405,1","24323,76","0,1",15,"1,426533523",115
1214,"18865,9","28260,99","0,1",15,"1,426533523",115
0115,"18987,15","28748,5","0,1",15,"1,426533523",121
0215,"17261,05","25986,73","0,1",15,"1,426533523",121
0315,"18987,15","19634,66","0,1",15,"1,426533523",121
0415,"18987,15","19634,66","0,1",15,"1,426533523",121
0515,"18124,1","18668,04","0,1",15,"1,426533523",121
0615,"18987,15","19634,66","0,1",15,"1,426533523",121
0715,"19850,2","20601,28","0,1",15,"1,426533523",121
0815,"18124,1","18668,04","0,1",15,"1,426533523",121
0915,"18987,15","19634,66","0,1",15,"1,426533523",121
1015,"18987,15","19634,66","0,1",15,"1,426533523",121
1115,"18124,1","18668,04","0,1",15,"1,426533523",121
1215,"19850,2","20601,57","0,1",15,"1,426533523",121
0116,"18124,1","18643,65","0,1",15,"1,426533523",121
0216,"18124,1","18643,65","0,1",15,"1,426533523",121
