RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
001;TEKUCI RAD-osn.zarad;{ || KOP->SATI*MDR->KOEF/176*MDR->PREB*KOE->C_R*MDR->KFAK };A;3;G;;1;P;P;1;3;3;1;D;1;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
081;TEKUCI RAD  stari KS;{ || KOP->SATI*MDR->KOEF1/176*MDR->PRPB*KOE->C_R*MDR->KFAK };A;3;G;;1;P;P;1;3;3;1;D;19;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
002;PREKOVREMENI RAD;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*1.40*MDR->KFAK*MDR->PREB };G;3;K;;1;P;P;0;3;2;2;N;2;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;9;;3;
003;DRZAVNI/VERSKI PRAZ.;{ || KOP->SATI*MDR->PRIZ/MDR->PRCAS*MDR->KFAK };C;3;G;;1;P;P;0;3;3;3;N;3;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
004;NOCNI RAD-26%;{ || KOP->SATI*KOE->C_R*MDR->KOEF/176*0.26*MDR->KFAK };B;2;K;S;1;;P;0;2;2;4;N;4;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;9;;2;
005;MINULI RAD;{ || (ZAR->UKNETO-ZAR->IPLAC)*KOP->PERC/100 };M;2;K;;0;A;P;0;2;2;20;N;20;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;;;2
006;DRZ. PRAZNIK 110%;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*2.10*MDR->KFAK };G;3;K;S;1;;P;0;3;2;5;N;5;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;9;;3;
007;VISINSKI (3-10M);{ || KOP->SATI*70*mdr->kfak };E;2;K;;1;P;P;0;2;2;6;N;6;1;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;1;1;;2;
008;VISINSKI (11-20M);{ || KOP->SATI*100*mdr->kfak };E;2;K;;1;P;P;0;2;2;7;N;7;1;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;1;1;;2;
009;GODISNJI ODMOR;{ || KOP->SATI*MDR->PRIZ/MDR->PRCAS*MDR->KFAK };O;3;G;;1;;P;0;3;3;8;N;8;0;6;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
