GRUPA_ID;NAZIV;STAND,L;D1,L;ND1,C,20;D2,L;ND2,C,20;D3,L;ND3,C,20;D4,L;ND4,C,15;KV,L;INIT,N,1,0;NIVO,C,1
1;Poluproizvodi i prozivodi Crnne i Obojene metal.;1;1;;1;;1;;0;;1;1;1
11;Polupr. cr.i oboj. metal.(lim.,fi..,prof.,cevi..;1;1;;1;;1;;0;;1;2;2
111;limovi,trake,ploce...;1;1;debljina;1;sirina;1;duzina;0;;1;3;3
1111;limovi ravni;1;1;debljina;1;sirina;1;duzina;0;;1;4;4
11111;limovi ravni tanki beli,pocinkovani(1mm-4mm);1;1;debljina;1;sirina;1;duzina;0;;1;5;5
11112;limovi ravni celicni;1;1;debljina;1;sirina;1;duzina;1;XXX...;1;5;5
11113;limovi ravni od obojenih metala i njihovih leg.;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
1112;limovi rebrasti;1;1;debljina;1;sirina;1;duzina;0;;1;4;4
1115;limovi profilisani;1;1;debljina;1;sirina;1;duzina;0;;1;4;4
11151;limovi profilisani celicni;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
11153;limovi profilisani od obojenih metala i legura;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
1119;limovi perforirani;1;1;debljina;1;sirina;1;duzina;0;;1;4;4
11191;limovi perforirani celicni;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
1113;trake;1;1;debljina;1;sirina;1;duzina;0;;1;4;4
11131;trake celicne;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
11132;trake od  obojenih metala;1;1;debljina;1;sirina;1;duzina;0;;1;5;5
1117;folije(lim beli...);1;1;;1;;1;;0;;1;4;4
11171;folije celicne;1;1;;1;;1;;1;;1;5;5
11172;folije od obojenih metala i njihovih legura;1;1;;1;;1;;1;;1;5;5
11179;folije ostale;1;1;;1;;1;;1;;1;5;5
1116;lamele;1;1;;1;;1;;1;;1;4;4
11161;lamele celicne;1;1;;1;;1;;1;;1;5;5
1118;ploce;1;1;;1;;1;;1;;1;4;4
11181;ploce celicne;1;1;;1;;0;;1;;1;5;5
11182;ploce od od obojenih metala ilegura;1;1;;1;;0;;1;;1;5;5
11183;ploce od plemenitih metala;1;1;;1;;0;;1;;1;5;5
119;polup. crne i oboj. metal. ostalo;1;1;;1;;0;;1;;1;3;3
112;okrugli,pljosnati,poluokrugli,kvadratni;1;1;;1;;0;;1;osnovni podaci;1;3;3
1121;okrugli materijal;1;1;;1;;0;;1;osnovni podaci;1;4;4
11211;okrugli celicni;1;1;;1;;0;;1;osnovni podaci;1;5;5
11212;okrugli od obojenih metala injihovih leg.;1;0;;0;;0;;1;osnovni podaci;1;5;5
11213;okrugli ostalo;1;0;;0;;0;;1;osnovni podaci;1;5;5
1122;pljosnati mater.;1;0;;0;;0;;1;osnovni podaci;1;4;4
11221;pljosnati celik;1;0;;0;;0;;1;osnovni podaci;1;5;5
122117;pljosnati cel. ug. sa gar. sastavom za automate;1;0;;0;;0;;1;osnovni podaci;1;6;6
11225;pljosnati mater. od al i al legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11227;pljosnati mater. od cu i cu legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11229;pljosnati ostalo;1;0;;0;;0;;1;osnovni podaci;1;5;5
1125;kvadratni mater.;1;0;;0;;0;;1;osnovni podaci;1;4;4
11251;kvadratni celik;1;0;;0;;0;;1;osnovni podaci;1;5;5
11255;kvadratni mater. od al i al legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11256;kvadratni mater. od cu i cu legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11259;kvadratni ostalo;1;0;;0;;0;;1;osnovni podaci;1;5;5
1126;poluokrugli mater.;1;0;;0;;0;;1;osnovni podaci;1;4;4
11261;poluokrugli celik;1;0;;0;;0;;1;osnovni podaci;1;5;5
11262;poluokrugli mater. od al i al legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11265;poluokrugli mater. od cu i cu legura;1;0;;0;;0;;1;osnovni podaci;1;5;5
11269;poluokrugli mater. ostalo;1;0;;0;;0;;1;osnovni podaci;1;5;5
1127;sestougaoni materijal.;1;0;;0;;0;;1;osnovni podaci;1;4;4
11271;sestougaoni celik;1;0;;0;;0;;1;osnovni podaci;1;5;5
11272;sestougaoni mater. od obojenih metala;1;0;;0;;0;;1;osnovni podaci;1;5;5
1128;mnogougaoni i raznougaoni mater.;1;0;;0;;0;;1;osnovni podaci;1;4;4
