GRUPA;SIFRA_Materijala;NAZIV_Materijala;STANDARD;DIMENZIJA;KVALITET;JM;TEZINA;DIMENZIJE;DIM1;DIMEN2;DIM3;DIMEN3;SIFRA_S;NAPOMENA
11112;111120326;LIM;;25x2000x9000;S355J2;kg;3533;25;;2000;0;9000;C.0563;
11112;111120038;LIM;;6.51x1500x3000;C.0371;kg;0;6.51;;1500;0;3000;C.0371;
11112;111120041;LIM;;8x1480x6000;C.0566;kg;568;8;;1480;0;6000;C.0566;
11112;111120226;LIM *;;30x2000x6000;ST 52.3;kg;2880;30;;2000;0;6000;ST 52.3;
11112;111120095;LIM;;12x1000x2000;ACRONI 11TI;kg;309;12;;1000;0;2000;ACRONI 11TI;
11112;111120123;LIM;;14x2000x10000;S235J2+N;kg;2240;14;;2000;0;10000;C.0361;
11112;111120124;LIM;;14x1650x13400;C.0562;kg;2480;14;;1650;0;13400;C.0562;
11112;111120125;LIM;;14x1800x12000;C.0562;kg;2439;14;;1800;0;12000;C.0562;
11112;111120126;LIM;;14x2050x10000;S355J2;kg;2296;14;;2050;0;10000;C.0563;
11112;111120127;LIM;;14x2000x10000;S355J2;kg;2240;14;;2000;0;10000;C.0563 Z3;
11112;111120210;LIM;;25x2000x12000;10G2S1-12;kg;4800;25;;2000;0;12000;10G2S1-12;
11112;111120276;LIM;;60x1500x6000;ST 52.3N;kg;4320;60;;1500;0;6000;ST 52.3N;
11112;111120282;LIM;;70x1500x6000;S355J2G3;kg;5040;70;;1500;0;6000;ST 52.3N S3;
11112;111120264;LIM;;50x1500x6000;ST 52.3N(S355J2G3;kg;3600;50;;1500;0;6000;ST 52.3N(S3;
11112;111120311;LIM;;130x1500x2000;42CRMO4+N;kg;3120;130;;1500;0;2000;42CRMO4+N;
11112;111120154;LIM;;16x1000x2000;C.7100;kg;256;16;;1000;0;2000;C.7100;
1112;111200002;LIM REB;;4/5x1000x2000;RST 37.2;kg;72;4;;1000;5;2000;RST 37.2;
11112;111120298;LIM;;100x2000x4000;42CRMO4;kg;6400;100;;2000;0;4000;42CRMO4;
11112;111120160;LIM;;18x2000x8000;C.0562;kg;2300;18;;2000;0;8000;C.0562;
11112;111120161;LIM;;18x2000x10000;S355J2;kg;2880;18;;2000;0;10000;C.0563 Z3;
11112;111120255;LIM;;40x 2000 x 6000;10G2S1-12;kg;3840;40;;2000;0;6000;10G2S1-12;
11112;111120205;LIM;;24x1850x6000;C.0451;kg;2131;24;;1850;0;6000;C.0451;
11112;111120166;LIM *;;20x2000x12000;ST52.3N(S355J2+N);kg;3840;20;;2000;0;12000;ST52.3N(S35;
11112;111120206;LIM;;24x2000x8000;S355J2;kg;3072;24;;2000;0;8000;C.0563;
11112;111120291;LIM;;90x1500x5000;ST 52.3N S355J2G3;kg;6480;90;;1500;0;5000;ST 52.3N S3;
11112;111120227;LIM;;30x2450x12000;PS265H;kg;7056;30;;2450;0;12000;PS265H;
11112;111120261;LIM;;45x2000x8000;ST 52.3N(S355J2G3;kg;5760;45;;2000;0;8000;ST 52.3N(S3;
11611;116110001;CEV BESAVNA;;fi   8.00 x  1.50;C.1212;kg;0;8;;0;1.5;0;C.1212;
11611;116110002;CEV BESAVNA;;fi  15.00 x  1.50;C.1212;kg;0;15;;0;1.5;0;C.1212;
11611;116110003;CEV BESAVNA;;fi 218.00 x  9.00;C.1212;kg;0;218;;0;9;0;C.1212;
11612;116120001;CEV SAVNA;;fi  76.10 x  5.00;S355J2;kg;0;76.1;;0;5;0;C.0563;
11611;116110004;CEV BESAVNA;;fi 127.00 x 14.20;ST 37.4;kg;240;127;;0;14.2;6000;ST 37.4;
11611;116110005;CEV BESAVNA;;fi 139.70 x  7.00;C.1212;kg;0;139.7;;0;7;0;C.1212;
11612;116120002;CEV SAVNA;;fi 159.00 x  5.00;S235J2+N;kg;0;159;;0;5;0;C.0361;
11611;116110006;CEV BESAVNA;;fi 159.00 x  8.00;C.1212;kg;0;159;;0;8;0;C.1212;
11611;116110007;CEV BESAVNA;;fi 193.70 x  6.30;C.1212;kg;0;193.7;;0;6.3;0;C.1212;
11611;116110008;CEV BESAVNA;;fi 193.70 x  8.00;C.1212;kg;0;193.7;;0;8;0;C.1212;
11611;116110009;CEV BESAVNA;;fi 193.70 x 10.00;C.1212;kg;0;193.7;;0;10;0;C.1212;
11611;116110010;CEV BESAVNA;;fi 193.70 x 10.00;St 52.0;m;0;193.7;;0;10;0;St 52.0;
11611;116110012;CEV BESAVNA;;fi 193.70 x 12.00;C.1212;kg;0;193.7;;0;12;0;C.1212;
11611;116110013;CEV BESAVNA;;fi 200.00 x 24.00;C.1212;kg;0;200;;0;24;0;C.1212;
11611;116110014;CEV BESAVNA;;fi 219.10 x 16.00;C.1212;kg;0;219.1;;0;16;0;C.1212;
11611;116110015;CEV BESAVNA;;fi 318.00 x 18.00;C.1212;kg;0;318;;0;18;0;C.1212;
11611;116110016;CEV BESAVNA;;fi 355.00 x 10.00;C.1212;kg;0;355;;0;10;0;C.1212;
11631;116310001;CEV PRAVOUGAONA;;140x70x5;S235J2+N;kg;157;140;;70;5;0;C.0361;
11631;116310002;CEV PRAVOUGAONA;;140x80x5;S235J2+N;kg;300;140;;80;5;0;C.0361;
11621;116210001;CEV KVADRATNA;;180x180x8;S235J2+N;kg;300;180;;180;8;0;C.0361;
11631;116310003;CEV PRAVOUGAONA;;200x120x6.3;S235J2+N;kg;728;200;;120;6.3;0;C.0361;
11621;116210002;CEV KVADRATNA;;200x200x6X6000;S235J2+N;kg;332;200;;200;6;6000;C.0361;
11631;116310004;CEV PRAVOUGAONA;;220x120x6.3;C.1212;kg;252;220;;120;6.3;0;C.1212;
11631;116310005;CEV PRAVOUGAONA;;260x140x6;S235J2+N;kg;141;260;;140;6;0;C.0361;
11621;116210003;CEV KVADRATNA;;260x260x10;S235J2+N;kg;0;260;;260;10;0;C.0361;
11621;116210004;CEV KVADRATNA;;260x260x8.8;Rst 37.2;kg;636;260;;260;8.8;0;Rst 37.2;
11112;111120001;LIM;;4x1000x2000;60SI15A;kg;60;4;;1000;0;2000;60SI15A;
11112;111120212;LIM;;25x1500x6000;C.4320;kg;1800;25;;1500;0;6000;C.4320;
11112;111120312;LIM;;130x1000x3100;S355J2G3N;kg;3224;130;;1000;0;3100;S355J2G3N;
11112;111120299;LIM;;100x1500x3000;S355J2G3;kg;3600;100;;1500;0;3000;S355J2G3;
11112;111120009;LIM;;5x2000x8000;P355NL1;kg;640;5;;2000;0;8000;P355NL1;
11112;111120229;LIM *;;30x2000x12000;ST 52.3N;kg;5760;30;;2000;0;12000;ST 52.3N;
11112;111120167;LIM;;20x2000x3600;C.0562;kg;1130;20;;2000;0;3600;C.0562;
11112;111120024;LIM  **;;6x2000x6000;10G2S1-12;kg;576;6;;2000;0;6000;10G2S1-12;
11112;111120315;LIM;;140x1000x3100;S355J2G3N;kg;3360;140;;1000;0;3100;S355J2G3N;
11112;111120200;LIM;;22x1500x6000;P355NL1;kg;1584;22;;1500;0;6000;P355NL1;
11112;111120168;LIM;;20x2000x9200;C.0562;kg;2889;20;;2000;0;9200;C.0562;
11112;111120325;LIM;;200x1000x2000;S355J2G3;kg;3200;200;;1000;0;2000;S355J2G3;
11112;111120068;LIM;;10X1600x4000;C.1.4541;kg;512;10;;1600;0;4000;C.1.4541;
11112;111120042;LIM;;8x2000x8000;P355NL1;kg;1024;8;;2000;0;8000;P355NL1;
11112;111120292;LIM;;90x1500x2780;S355J2G3;kg;3002;90;;1500;0;2780;S355J2G3;
