SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
41;111130005;TRAKA FLAH A;10x30x3000mm;AL-1;;kg;101000;331;993;0;0;0;0;331;993;3
41;111130007;LIM;1x1000x2000;CUZN37-MS;;kg;101000;34;25447.3;0;0;0;0;34;25447.3;748.45
41;111130011;PLOCA;20x720x2000;CU;;kg;101000;249;128364.48;0;0;249;128364.48;0;0;0
41;111130018;CU-FLAH;3x25;;;kg;101000;2;1990;0;0;0;0;2;1990;995
41;111310003;SIGNOD TRAKA;20x3;;;m;101000;1700;139230;0;0;0;0;1700;139230;81.9
41;111720003;LIM;0.5x1000x2000;MS;;kg;101000;26.1;16697.66;0;0;0;0;26.1;16697.66;639.76
41;112120001;SIPKA;fi  35;AlMg-1;;kg;101000;252;756;0;0;0;0;252;756;3
41;112930289;GRIF ZICA-PL;30x30x3,1x.... 1000x20;;;kom;101000;5;1988.5;0;0;0;0;5;1988.5;397.7
41;112950027;SITO MESINGA;WO-1.47 f=0.35  1000x9;;;m2;101000;0.9;3213;0;0;0;0;0.9;3213;3570
41;112950028;SITO MESINGA;WO-0.76   f=0.35  1000;;;m2;101000;0.7;2012.5;0;0;0;0;0.7;2012.5;2875
41;115250001;Z PROFIL;4X40X60X4000;AL;;kg;101000;184;2208;0;0;0;0;184;2208;12
41;116110217;CEV BESAVNA;fi  90.00 x 17.00;PROKRON;;kg;101000;3;1368.45;0;0;0;0;3;1368.45;456.15
41;116130007;CEV-CU;fi 22x0.9;CU;;m;101000;17;5417.74;0;0;0;0;17;5417.74;318.69
41;171100253;TULJAK;f 56x75;SL;;kom;101000;1;720;0;0;0;0;1;720;720
41;171100395;KOCIONA PAPU;TKP 400-02-01;SL;;kom;101000;4;15360;0;0;0;0;4;15360;3840
41;171200753;KUCISTE LEZA;30065.01.01.04 -M-levi;CL;;kom;101000;3;91444.99;0;0;0;0;3;91444.99;30481.66
41;171201004;TOCAK;25101-104-03:2 (25120-;GS-40MNCRSI13;;kom;101000;1;123487.18;0;0;0;0;1;123487.18;123487.18
41;171201091;POLUGA;DKM-400-21;CL 0501;;kom;101000;1;8370;0;0;0;0;1;8370;8370
41;171201098;POLUGA;DKM 400-16;CL;;kom;101000;1;21390;0;0;0;0;1;21390;21390
41;171201102;KUCISTE;TKP 400-01-01;CL;;kom;101000;1;18910;0;0;0;0;1;18910;18910
41;171201377;CLANAK GUSEN;25101-104-06:3(25115-1;;;kom;101000;19;2535645;0;0;0;0;19;2535645;133455
41;171201394;KUCISTE LEZA;30234-05-06-02-01;;;kom;101000;1;69120;0;0;0;0;1;69120;69120
41;171201475;CLANAK GUSEN;25115-104-06:3R;;;kom;101000;6;806400;0;0;0;0;6;806400;134400
41;171201639;SEGMENT PAPU;2270.05.01.01;;;kom;101000;2;72000;0;0;0;0;2;72000;36000
41;171201648;TOCAK;2270-06.02;;;kom;101000;1;41480;0;0;0;0;1;41480;41480
41;171201678;TOCAK KRANA;;;;kom;101000;2;111600;0;0;0;0;2;111600;55800
41;171701492;BRONZA;210/170x270;CCUAL10NI3FE2;;kom;101000;4;146600;0;0;0;0;4;146600;36650
41;171701735;KLIZNI LEZAJ;30106.05.03.04.03;CUSN14;;kom;101000;4;18000.57;0;0;0;0;4;18000.57;4500.14
41;171702221;CAURA;25130-109-05-01-04 fi3;P.CUSN12;;kom;101000;336;282240;0;0;0;0;336;282240;840
41;171702226;CAURA;fi125/fi70x100;;;kom;101000;4;51200;0;0;0;0;4;51200;12800
41;171702263;CAURA;fi 125/80/50x100/20;;;kom;101000;1;10800;0;0;0;0;1;10800;10800
41;171702284;CAURA;288931-06-09-02-02/100;;;kom;101000;2;74400;0;0;0;0;2;74400;37200
