sifra_troskovnog_mesta;naziv;Aktivno_Neaktivno
10000000;Direkcija fabrike opreme i masina;TAČNO
21000000;Sektor prodaje;TAČNO
22000000;Sektor projektovanja i razvoja;TAČNO
30000000;DIREKCIJA proizvodnje;TAČNO
90000000;Pogon reduktora i TO (PRTO);TAČNO
32300000;Pogon reduktora i TO (PRTO);TAČNO
32200000;Pogon opreme i masina (POM);TAČNO
90000000;Pogon opreme i masina (POM);TAČNO
32500000;"Sluzba ZNR; ZOP i ZZS";TAČNO
32100000;Pogon pripremnih radova PPR;TAČNO
32400000;Magacin alata;TAČNO
23000000;Sektor nabavke i skladista;TAČNO
31000000;Sektor tehnicke pripreme proizv.;TAČNO
50000000;Sluzba obezbedjenja kvaliteta;NETAČNO
33000000;Sektor kontrole kvaliteta;TAČNO
40000000;"Opsti; pravni i finansijski poslovi";TAČNO
20000000;DIREKCIJA INZENJERING;NETAČNO
90000000;SEKTOR SPOLJNA TRGOVINA;NETAČNO
90000000;POGON PRTO;NETAČNO
32210000;OPERATIVNA PRIPREMA;NETAČNO
32220000;RADIONICA I BRAVARSKO ZAVARIVACKA;NETAČNO
32230000;RADIONICA II BRAVARSKO ZAVARIVACKA;NETAČNO
32240000;RADIONICA III BRAVARSKO ZAVARIVACKA;NETAČNO
32250000;MASINSKA OBRADA;NETAČNO
32260000;MASINSKA MONTAZA;NETAČNO
32270000;RADIONICA 4 AKZ;NETAČNO
32280000;GEODETSKA SLUZBA;NETAČNO
32290000;ODRZAVANJE POM-a;NETAČNO
32110000;OPERATIVNA PRIPREMA POGONA PRIP.RAD;NETAČNO
32120000;PROIZVODNJA;NETAČNO
32310000;OPERATIVNA PRIPREMA PRTO;NETAČNO
32320000;MASINSKA OBRADA I MONTAZA;NETAČNO
32330000;TERMICKA OBRADA;NETAČNO
32340000;ODRZAVANJE PRTO-a;NETAČNO
31100000;ODELJENJE TEHNOLOGIJE REDUKTORA;TAČNO
31200000;Odeljenje teh. opreme i masina;TAČNO
31300000;Odeljenje pripreme proiz. dokument.;NETAČNO
31400000;Odeljenje tehnologije IP;NETAČNO
33100000;Odeljenje kontrole reduktora i TO;NETAČNO
33200000;Odeljenje kontrole opreme i masina;NETAČNO
33000000;Odeljenje kont. prijema i ulaza mat;NETAČNO
90000000;NEAKTIVNI;NETAČNO
42000000;Odeljenje opstih poslova;NETAČNO
41000000;Odeljenje finansija i knjigovostva;NETAČNO
23100000;Odeljenje nabavke;NETAČNO
23200000;Odeljenje skladista;NETAČNO
22100000;Biroi za dizalice i pogonsku tehni.;NETAČNO
22200000;Biro za MO i PT;NETAČNO
22300000;Biro za RO i EO;NETAČNO
33300000;ODELJENJE KONTROLE PR.I ULAZA MATER;NETAČNO
60000000;RADNA JEDINICA ZA MONTAZU TR.TRAKA;NETAČNO
22400000;Sekretarijat i kopirnica;TAČNO
