SIFRA;NAZIV
00100;Predsedik Korporacije
00200;Zam.predsednika Korporacije
00300;Predsednik za poslovne funkcije
00900;Podpredsednik za program
01500;Savetnik predsednika Korporacije
02000;Ruk.Agencije u inostr. (delegat)
02300;Zamenik direktora
02400;Tehnicki direktor
02500;Pomoc.dir.FOM-a za kvalitet
02600;Savetnik direktora FOM-a d.o.o.
02700;Glavni inzenjer
02800;Vodeci inzenjer
03000;Poslovni sekretar
03100;Komercijalni direktor
03200;Savetnik direktora FOM-a za plasman
03400;Direktor sek.inzenjering
03501;Zam.dir.prodaje
03600;Ruk.kontrole opreme i ul.mat.
03700;Rukovod.sektora prodaje
03800;Sef biroa
03900;Gl.ref.prodaje
04000;Sam.referent prodaje
04100;Referent prodaje
04200;Poslovo|a prodavice-racunopolagac
04300;Prodavac-racunopolagac
04400;Prodavac-racunopolagac
04500;Kasir
04600;Direktor direkcije za marketing
04700;Pomoc.dir.FOM-a za inzenjering
04800;Sef odelj.marketinga
04900;Vodeci marketing inzenjer
05000;Sam.marketing inzenjer
05100;Marketing inzenjer
05200;Struzni prevodilac
05300;Prevodilac
05400;Direktor sektora SN
05500;Ruk.sek.nabavke i skladista
05600;Sef kooperacije
05700;Sef nabavke
05800;Sef skladista
05900;Glavni ref.nabavke
06000;Gl.ref.kooperacije
06100;Sam.referent nabavke
06101;Sam.ref.kooperacije
06200;Referent nabavke
06300;Referent kooperacije
06400;Poslovodja magacina
06500;Glavni magacioner
06600;Sam.magacioner mas. delova
06700;Magacioner
06800;Direktor sektora PR
06900;Ruk.sek.(projekt.konstruis. i razvoja)
07000;Ref.reatestacije mat.
07100;Glavni projetant
07200;Vodeci projektant
07300;Vodeci konstruktor
07400;Samostalni projektant
07500;Samostalni konstruktor
07600;Projektant
07700;Projektant-tehnicar
07800;Konstruktor
07900;Ref.tehnic.dokumentacije
08000;Arhivar dokumentacije
08100;Direktor kvaliteta
08200;Rukovodilac programa
08300;Rukovodilac projekta
08400;Sef razvoja tehnolog.i investicija
08500;Visi naucni saradnik
08600;Naucni savetnik
08700;Visi naucni saradnik
08800;Naucni saradnik
08900;Naucni istracivac saradnik
09000;Istracivac-konsultant
09100;Istracivac-vodeci saradnik
09200;Istracivac - visi saradnik
09300;Istracivac-sam.saradnik
09400;Istracivac-strucni saradnik
