MBRD;UKKONTR;M_G;SSZNE;SIZNE;SIZN;SSNNE;SINNE;IZNETO;IZBRUTO;POREZ1;POREZ2;IZBRPR;IZBRBOL;SID;SIDBOL;SIPPR;SIPBOL;SIP;POSPOR;SIP_D;SIOB;IZNETO2;OLAKSICA;EFSATI;AKONT;NEAK;AK;NRAKON;VAKON;UKNETO;ZARKR;KOEF;RBTC;RBIM;UKIS;UKSIOB;UKZARKR;UKAKONT;UKNRAKON;UKVAKON;DEO1;REC;HKMB;RBPS;IZBRBO1;SIN;RAD2;RAD3;RAD4;UKUPNO;ISPLATA;VISP;MINIM;OSNOV;DEOIM;PRIZ;PRCAS;IZN2;BROJ;MRBTC;POROSL;GOD_30;GOD_50;NETO;BROSN;PIOR;ZDRR;ONEZR;PIOP;ZDRP;ONEZP;SOP;DBEN;EFIZNO;BMIN;UKUPNO1;PIOR1;ZDRR1;ONEZR1;PIOP1;ZDRP1;ONEZP1;BROSN1;POROSL1;SIP1;IZNETO1;N
0000800;;0124;206.0;138144.59;;0.0;0.00;138144.59;138144.59;;0.00;138144.59;;27490.77;0.00;11314.46;0.00;11314.46;0.00;;0.00;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;10081.67;;32320000;991;79257.690;0.000;10081.670;10000.000;0.000;0.000;;1;0000800;03;0.00;0.00;1;0;0;138144.59;;;586.81;75644.91;;115550.25;182.0;;;;25000.00;0.00;0.00;99339.36;138144.59;19340.24;7114.45;1036.08;13814.46;7114.45;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0000939;;0124;199.0;116739.25;;72.0;32185.91;148925.16;148925.16;;0.00;148925.16;;29636.11;0.00;12392.52;0.00;12392.52;0.00;;1068.97;0.00;367.21;88.00;10000.00;0.00;;0.00;0.00;;5199.30;;32210000;930;90628.260;1068.970;5199.300;10000.000;0.000;0.000;;1;0000939;03;0.00;0.00;1;0;0;148925.16;;;418.64;73074.45;;93312.22;175.0;;;;25000.00;0.00;0.00;106896.53;148925.16;20849.52;7669.65;1116.94;14892.52;7669.65;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0001008;;0124;194.0;123420.38;;0.0;0.00;123420.38;123420.38;;0.00;123420.38;;24560.66;0.00;9842.04;0.00;9842.04;0.00;;890.18;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;5890.00;;32260000;930;72237.500;890.180;5890.000;10000.000;0.000;0.000;;1;0001008;03;0.00;0.00;1;0;0;123420.38;;;535.37;71238.41;;97248.68;170.0;;;;25000.00;0.00;0.00;89017.68;123420.38;17278.85;6356.15;925.65;12342.04;6356.15;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0001701;;0124;216.0;123643.71;;0.0;0.00;123643.71;123643.71;;0.00;123643.71;;24605.10;0.00;9864.37;0.00;9864.37;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;10866.00;;32250000;910;68308.240;0.000;10866.000;10000.000;0.000;0.000;;1;0001701;03;0.00;0.00;1;0;0;123643.71;;;454.60;79317.00;;99102.24;192.0;;;;25000.00;0.00;0.00;89174.24;123643.71;17310.12;6367.65;927.33;12364.37;6367.65;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0002596;;0124;198.0;145550.94;;0.0;0.00;145550.94;145550.94;;0.00;145550.94;;28964.64;0.00;12055.09;0.00;12055.09;0.00;;1045.31;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;2460.00;;22200000;930;91025.900;1045.310;2460.000;10000.000;0.000;0.000;;1;0002596;08;0.00;0.00;1;0;0;145550.94;;;637.96;72707.25;;116263.63;174.0;;;;25000.00;0.00;0.00;104531.21;145550.94;20377.13;7495.87;1091.63;14555.09;7495.87;0.00;109;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0002824;;0124;244.0;136345.49;;0.0;0.00;136345.49;136345.49;;0.00;136345.49;;27132.75;0.00;11134.55;0.00;11134.55;0.00;;980.78;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;4739.14;;32290000;997;82358.270;980.780;4739.140;10000.000;0.000;0.000;;1;0002824;03;0.00;0.00;1;0;0;136345.49;;;422.99;89598.83;;114185.01;220.0;;;;25000.00;0.00;0.00;98078.19;136345.49;19088.37;7021.79;1022.59;13634.55;7021.79;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0002844;;0124;202.0;158618.19;;0.0;0.00;158618.19;158618.19;;0.00;158618.19;;31565.02;0.00;13361.82;0.00;13361.82;0.00;;0.00;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;16849.46;;32240000;910;86841.890;0.000;16849.460;10000.000;0.000;0.000;;1;0002844;03;0.00;0.00;1;0;0;158618.19;;;664.25;74176.08;;127191.40;178.0;;;;25000.00;0.00;0.00;113691.35;158618.19;22206.55;8168.84;1189.64;15861.82;8168.84;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0002999;;0124;287.0;198758.27;;0.0;0.00;198758.27;198758.27;;0.00;198758.27;;39552.90;0.00;17375.83;0.00;17375.83;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;7188.00;;32120000;930;124641.540;0.000;7188.000;10000.000;0.000;0.000;;1;0002999;03;0.00;0.00;1;0;0;198758.27;;;542.82;105388.79;;172332.75;263.0;;;;25000.00;0.00;0.00;141829.54;198758.27;27826.16;10236.05;1490.69;19875.83;10236.05;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003009;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32230000;980;0.000;0.000;0.000;0.000;0.000;0.000;;1;0005290;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;093;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0003038;;0124;239.0;185067.13;;0.0;0.00;185067.13;185067.13;;0.00;185067.13;;36828.36;0.00;16006.71;0.00;16006.71;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;0.00;;32250000;920;122232.060;0.000;0.000;10000.000;0.000;0.000;;1;0003038;04;0.00;0.00;1;0;0;185067.13;;;615.15;87762.79;;153321.90;215.0;;;;25000.00;0.00;0.00;132232.06;185067.13;25909.40;9530.96;1388.00;18506.71;9530.96;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003068;;0124;240.0;164610.18;;0.0;0.00;164610.18;164610.18;;0.00;164610.18;;32757.43;0.00;13961.02;0.00;13961.02;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;7580.00;;32260000;930;100311.730;0.000;7580.000;10000.000;0.000;0.000;;1;0003068;06;0.00;0.00;1;0;0;164610.18;;;538.74;88130.00;;135577.76;216.0;;;;25000.00;0.00;0.00;117891.73;164610.18;23045.43;8477.42;1234.58;16461.02;8477.42;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003074;;0124;220.0;177544.39;;0.0;0.00;177544.39;177544.39;;0.00;177544.39;;35331.33;0.00;15254.44;0.00;15254.44;0.00;;0.00;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;1942.00;;32210000;910;115016.620;0.000;1942.000;10000.000;0.000;0.000;;1;0003074;06;0.00;0.00;1;0;0;177544.39;;;644.02;80785.83;;142905.73;196.0;;;;25000.00;0.00;0.00;126958.62;177544.39;24856.21;9143.54;1331.58;17754.44;9143.54;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003093;;0124;72.0;63467.14;;112.0;68635.60;132102.74;132102.74;;0.00;132102.74;;26288.45;0.00;10710.27;0.00;10710.27;0.00;;0.00;0.00;367.21;48.00;10000.00;0.00;;0.00;0.00;;5753.96;;32260000;910;79350.060;0.000;5753.960;10000.000;0.000;0.000;;1;0003093;07;0.00;0.00;1;0;0;132102.74;;;621.74;26439.00;;31828.16;48.0;;;;25000.00;0.00;0.00;95104.02;132102.74;18494.38;6803.29;990.77;13210.27;6803.29;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003099;;0124;184.0;154209.45;;0.0;0.00;154209.45;154209.45;;0.00;154209.45;;30687.68;0.00;12920.95;0.00;12920.95;0.00;;0.00;0.00;367.21;104.00;10000.00;0.00;;0.00;0.00;;4191.00;;21000000;992;96409.820;0.000;4191.000;10000.000;0.000;0.000;;1;0003099;08;0.00;0.00;1;0;0;154209.45;;;729.77;67566.33;;90877.76;104.0;;;;25000.00;0.00;0.00;110600.82;154209.45;21589.32;7941.79;1156.57;15420.95;7941.79;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003117;;0124;202.0;127193.57;;0.0;0.00;127193.57;127193.57;;0.00;127193.57;;25311.52;0.00;10219.36;0.00;10219.36;0.00;;916.63;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;150.00;;32310000;920;80596.060;916.630;150.000;10000.000;0.000;0.000;;1;0003117;07;0.00;0.00;1;0;0;127193.57;;;522.30;74176.08;;100171.57;178.0;;;;25000.00;0.00;0.00;91662.69;127193.57;17807.10;6550.47;953.95;12719.36;6550.47;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003595;;0124;230.0;121387.04;;0.0;0.00;121387.04;121387.04;;0.00;121387.04;;24156.02;0.00;9638.70;0.00;9638.70;0.00;;0.00;0.00;385.57;160.00;10000.00;0.00;;0.00;0.00;;6116.58;;32210000;910;71475.740;0.000;6116.580;10000.000;0.000;0.000;;1;0003595;01;0.00;0.00;1;0;0;121387.04;;;422.35;84457.91;;101267.93;206.0;;;;25000.00;0.00;0.00;87592.32;121387.04;16994.19;6251.43;910.40;12138.70;6251.43;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003641;;0124;199.0;145348.66;;0.0;0.00;145348.66;145348.66;;0.00;145348.66;;28924.38;0.00;12034.87;0.00;12034.87;0.00;;1043.89;0.00;367.21;160.00;10000.00;0.00;;0.00;0.00;;2734.00;;32400000;992;90611.520;1043.890;2734.000;10000.000;0.000;0.000;;1;0001611;06;0.00;0.00;1;0;0;145348.66;;;585.32;73074.45;;112545.44;175.0;;;;25000.00;0.00;0.00;104389.41;145348.66;20348.81;7485.46;1090.11;14534.87;7485.46;0.00;093;;;;;5620.02;2067.36;301.07;4014.30;2067.36;0.00;40143.00;17500.00;54.27;18042.73;
0003645;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32320000;930;0.000;0.000;0.000;0.000;0.000;0.000;;1;0001613;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;093;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0003671;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32250000;930;0.000;0.000;0.000;0.000;0.000;0.000;;1;0001619;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0003701;;0124;0.0;0.00;;0.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;367.21;0.00;0.00;0.00;;0.00;0.00;;0.00;;32260000;930;0.000;0.000;0.000;0.000;0.000;0.000;;1;0005359;03;0.00;0.00;1;0;0;0.00;;;0.00;0.00;;0.00;0.0;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
