MBRD,RBVP,SLOV,SATI,IZNO,PERC,KOEF,RJ,BRIG,POK2,RBTC,KONT,RBKO
0004202,001,A,184,,,50000,100,00000,G,10000000,,
0004202,019,L,184,,,50000,100,00000,I,10000000,,
0005399,019,L,184,,,50000,100,00000,I,10000000,,
0005399,001,A,184,,,50000,100,00000,G,10000000,,
0004021,001,A,184,,,50000,101,00000,G,10000000,,
0004021,019,L,184,,,50000,101,00000,I,10000000,,
0005245,009,O,184,,,50000,100,00000,G,10000000,,
0005652,001,A,184,,,50000,300,00000,G,10000000,,
0005652,019,L,184,,,50000,300,00000,I,10000000,,
0005621,019,L,120,,,50000,400,00000,I,10000000,,
0005621,001,A,120,,,50000,400,00000,G,10000000,,
0005621,009,O,64,,,50000,400,00000,G,10000000,,
0005621,,,,,,50000,400,00000,,10000000,,
0006001,001,A,184,,,50000,900,00000,G,10000000,,
0006001,019,L,184,,,50000,900,00000,I,10000000,,
0005613,001,A,184,,,79641.65,100,00000,G,10000000,,
0005613,002,G,46,,,79641.65,100,00000,K,10000000,,
0005613,004,B,46,,,79641.65,100,00000,K,10000000,,
0005613,019,L,230,,,79641.65,100,00000,I,10000000,,
0005613,,,,,,79641.65,100,00000,,10000000,,
0005577,001,A,184,,,86774.32,100,00000,G,10000000,,
0005577,019,L,184,,,86774.32,100,00000,I,10000000,,
0004086,002,G,13,,,95333.52,900,00000,K,41000000,,
0004086,009,O,184,,,95333.52,900,00000,G,41000000,,
0004086,019,L,13,,,95333.52,900,00000,I,41000000,,
0004473,001,A,184,,,95333.52,900,00000,G,41000000,,
0004473,002,G,12,,,95333.52,900,00000,K,41000000,,
0004473,019,L,196,,,95333.52,900,00000,I,41000000,,
0005598,001,A,183,,,111025.39,900,00000,G,41000000,,
0005598,002,G,6,,,111025.39,900,00000,K,41000000,,
0005598,020,B,1,,,111025.39,900,00000,G,41000000,,
0005598,019,L,184,,,111025.39,900,00000,I,41000000,,
0006200,001,A,184,,,54648.79,900,00000,G,41000000,,
0006200,019,L,184,,,54648.79,900,00000,I,41000000,,
0006238,001,A,178,,,92480.46,900,00000,G,41000000,,
0006238,002,G,17,,,92480.46,900,00000,K,41000000,,
0006238,020,B,6,,,92480.46,900,00000,G,41000000,,
0006238,019,L,201,,,92480.46,900,00000,I,41000000,,
0006026,001,A,184,,,105319.26,900,00000,G,41000000,,
0006026,002,G,7,,,105319.26,900,00000,K,41000000,,
0006026,019,L,191,,,105319.26,900,00000,I,41000000,,
0009354,001,A,184,,,111025.39,900,00000,G,41000000,,
0009354,002,G,25,,,111025.39,900,00000,K,41000000,,
0009354,019,L,209,,,111025.39,900,00000,I,41000000,,
0006518,019,L,184,,,89971.47,410,00000,I,40000000,,
0006518,001,A,184,,,89971.47,410,00000,G,40000000,,
0006518,,,,,,89971.47,410,00000,,40000000,,
0006154,001,A,182,,,97104.14,900,00000,G,40000000,,
0006154,001,A,182,,,97104.14,900,00000,G,40000000,,
0006154,020,B,2,,,97104.14,900,00000,G,40000000,,
0006154,019,L,184,,,97104.14,900,00000,I,40000000,,
0004354,001,A,184,,,65091.01,405,00000,G,42000000,,
0004354,019,L,184,,,65091.01,405,00000,I,42000000,,
0004634,001,A,141,,,78215.12,405,00000,G,42000000,,
0004634,012,C,40,,,78215.12,405,00000,G,42000000,,
0004634,020,B,3,,,78215.12,405,00000,G,42000000,,
0004634,019,L,141,,,78215.12,405,00000,I,42000000,,
0005609,001,A,184,,,65091.01,405,00000,G,42000000,,
0005609,002,G,6,,,65091.01,405,00000,K,42000000,,
0005609,019,L,190,,,65091.01,405,00000,I,42000000,,
0005609,,,,,,65091.01,405,00000,,42000000,,
0005616,001,A,144,,,65091.01,405,00000,G,42000000,,
0005616,012,C,40,,,65091.01,405,00000,G,42000000,,
0005616,019,L,144,,,65091.01,405,00000,I,42000000,,
0005617,001,A,144,,,65091.01,405,00000,G,42000000,,
0005617,012,C,40,,0,65091.01,405,00000,G,42000000,,
0005617,019,L,144,,,65091.01,405,00000,I,42000000,,
0006224,001,A,182,,,96760.06,405,00000,G,42000000,,
0006224,020,B,2,,,96760.06,405,00000,G,42000000,,
0006224,019,L,184,,,96760.06,405,00000,I,42000000,,
0006489,001,A,181,,,96760.06,900,00000,G,42000000,,
0006489,020,B,3,,,96760.06,900,00000,G,42000000,,
0006489,019,L,184,,,96760.06,900,00000,I,42000000,,
0006576,012,C,184,,,65091.01,405,00000,G,42000000,,
0009363,001,A,142,,,82494.72,405,00000,G,42000000,,
0009363,009,O,40,,,82494.72,405,00000,G,42000000,,
0009363,020,B,2,,,82494.72,405,00000,G,42000000,,
0009363,019,L,144,,,82494.72,405,00000,I,42000000,,
0009405,001,A,184,,,85347.79,700,00000,G,50000000,,
0009405,019,L,184,,,85347.79,700,00000,I,50000000,,
0006221,001,A,184,,,104236.8,500,00000,G,23100000,,
0006221,019,L,184,,,104236.8,500,00000,I,23100000,,
0004507,001,A,184,,,73935.52,500,00000,G,23100000,,
0004507,019,L,184,,,73935.52,500,00000,I,23100000,,
0004657,001,A,184,,,71082.45,500,00000,G,23100000,,
0004657,019,L,184,,,71082.45,500,00000,I,23100000,,
0005639,001,A,184,,,66802.85,500,00000,G,23100000,,
0005639,002,G,24,,,66802.85,500,00000,K,23100000,,
0005639,019,L,208,,,66802.85,500,00000,I,23100000,,
0005682,009,O,184,,,79641.65,500,00000,G,23100000,,
0005682,,,,,,79641.65,500,00000,,23100000,,
0006025,009,O,104,,,93906.99,900,00000,G,23100000,,
0006025,012,C,80,,,93906.99,900,00000,G,23100000,,
0006025,,,,,,93906.99,900,00000,,23100000,,
0006425,001,A,184,,,102466.19,500,00000,G,23100000,,
0006425,019,L,184,,,102466.19,500,00000,I,23100000,,
0006557,001,A,184,,,91053.92,401,06557,G,32320000,,
0006551,001,A,124,,,89627.39,500,00000,G,23100000,,
0006551,002,G,3,,,89627.39,500,00000,K,23100000,,
0006551,009,O,48,,,89627.39,500,00000,G,23100000,,
0006551,020,B,12,,,89627.39,500,00000,G,23100000,,
0006551,019,L,139,,,89627.39,500,00000,I,23100000,,
0006551,,,,,,89627.39,500,00000,,23100000,,
0009359,009,O,184,,,85347.79,500,00000,G,23100000,,
0009359,,,,,,85347.79,500,00000,,23100000,,
0009703,009,O,184,,,79641.65,500,00000,G,23100000,,
0006219,001,A,174,,,103892.72,200,00000,G,21000000,,
0006219,009,O,8,,,103892.72,200,00000,G,21000000,,
0006219,025,O,1,,,103892.72,200,00000,K,21000000,,
0006219,020,B,1,,,103892.72,200,00000,G,21000000,,
0004908,001,A,184,,,150968.33,300,00000,G,21000000,,
0004908,002,G,11,,,150968.33,300,00000,K,21000000,,
0004908,019,L,195,,,150968.33,300,00000,I,21000000,,
0010283,001,A,184,,,104236.8,300,00000,G,21000000,,
0010283,002,G,12,,,104236.8,300,00000,K,21000000,,
0010283,019,L,196,,,104236.8,300,00000,I,21000000,,
0003099,012,C,184,,,150968.33,200,00000,G,21000000,,
0004770,001,A,182,,,130996.86,200,00000,G,21000000,,
0004770,020,B,2,,,130996.86,200,00000,G,21000000,,
0004770,019,L,184,,,130996.86,200,00000,I,21000000,,
0005558,009,O,184,,,139556.06,200,00000,G,21000000,,
0006032,001,A,183,,,119584.59,200,00000,G,21000000,,
0006032,020,B,1,,,119584.59,200,00000,G,21000000,,
0006032,019,L,184,,,119584.59,200,00000,I,21000000,,
0006474,001,A,160,,,78215.12,200,00000,G,21000000,,
0006474,002,G,2,,,78215.12,200,00000,K,21000000,,
0006474,009,O,24,,,78215.12,200,00000,G,21000000,,
0006474,025,O,2,,,78215.12,200,00000,K,21000000,,
0006474,019,L,162,,,78215.12,200,00000,I,21000000,,
0006227,001,A,184,,,93906.99,200,06227,G,21000000,,
0006227,019,L,184,,,93906.99,200,06227,I,21000000,,
0006231,001,A,181,,,71082.45,200,00000,G,21000000,,
0006231,002,G,44,,,71082.45,200,00000,K,21000000,,
0006231,025,O,1,,,71082.45,200,00000,K,21000000,,
0006231,020,B,2,,,71082.45,200,00000,G,21000000,,
0006231,019,L,227,,,71082.45,200,00000,I,21000000,,
0006593,001,A,184,,,113878.46,202,06593,G,32320000,,
0006596,001,A,94,,,96760.06,200,00000,G,21000000,,
0006596,023,O,1,,,96760.06,200,00000,G,21000000,,
0006596,012,C,24,,,96760.06,200,00000,G,21000000,,
0006596,025,O,13,,,96760.06,200,00000,K,21000000,,
0006596,020,B,4,,,96760.06,200,00000,G,21000000,,
0007905,001,A,174,,,130996.86,200,00000,G,21000000,,
0007905,002,G,6,,,130996.86,200,00000,K,21000000,,
0007905,023,O,2,,,130996.86,200,00000,G,21000000,,
0007905,025,O,8,,,130996.86,200,00000,K,21000000,,
0008235,001,A,184,,,68229.39,100,00000,G,21000000,,
0008235,019,L,184,,,68229.39,100,00000,I,21000000,,
