MBKOM;NAKOM;SNKOM;RBGR;ADKOM
7142668;TP   UZOR  ;UZOR;02450;
7058128;RUDNAP - PREDUZECE ZA IZVOZ UVOZ;RUDNAP;00159;VUKA KARADZICA 70
7150083;METALSERVIS;METALSERVIS;01255;JNA 70
6990533;"OPTIMUM DOO 220-47976-15;";OPTIMUMN;02450;MAJORA GAVRILOVICA 40
6991973;TRGOVINA NA VELIKO;GLOBUS;00001;
7113340;POBEDA;POBEDA;00022;TANASKA RAJICA 1
8027668;METAL    PRESEVO;METAL;00020;LENJINOVA 72
8072175;GRO OBNOVA GRADNJA;OBNOVA;00001;TRG OSLOBODJENJA
6718698;IBA ADA;IBA;00001;
6992358;MLINSKO PEKARSKA IND 8 OKTOBAR;8 OKTOBAR;00001;
8072159;NAPREDAK-TRANS;NAPREDAK;00001;LENJINOVA
8072230;"POTISJE FABRIKA ALATA;";POTISJE;00001;29.NOVEMBRA
6991980;PP GLOBUS;GLOBUS;00001;
6401368;RAVANICA PRODAJA NA MALO;RAVANICA;00001;PUT BRODARICE 2.
8072302;8 MART ADA;8 MART ADA;00001;KRAJISKA
6717888;BEMIKS;BEMIKS;00009;
7194889;DISKOS;DISKOS;00009;
6993214;DJOKIC SRDJAN OREOVICA;DJOKIC;00009;
6901930;KATANOVIC JUGOSLAV;KATANOVIC JUGOSLAV;00009;
6992714;KUCINSKI RADISA;KUCINSKI RADISA;00009;
6991971;VUJIC RADE OREOVICA;VUJIC RADE;00009;
6702589;PRVA PETOLETKA RO ARMATURE;PRVA PETOLETKA;00009;
6706908;PTK JEDINSTVO KLAN.;OREOVICA;00009;
7100035;RAZVITAK;RAZVITAK;00009;29.NOVEMBRA bb
7195761;PREDUZECE ZA PROIZVODNJU VENTILA;PRED ZA PRO VENTI;00009;KRUSEVACKA bb.
7154291;ZUPA PREDUZ.ZA PROIZVODNJU I PROMET VINA;ZUPA;00009;KRUSEVACKA 66.
7244754;ZANAT;ZANAT;00009;10.AVGUST
7099991;ZELJIN GRAD;ZELJIN GRAD;00009;KRUSEVACKA 25.
7212097;AIK RO ALPIK;PIK;00010;marsala tita
7107099;EMPA ELKTRO IND PREDUZECE MONTAZA;EMPA;00010;PETRA ZECA
6712185;GAVRILOVIC STEVAN;GAVRILOVIC;00010;
6704042;MEHANIKA;MEHANIKA;00010;
7153716;OOUR FABRRIKA PROFILA I CEVI;FDABRIKA PROFILA;00010;
6020500;POHOP;POHOP;00010;
6020216;PREDUZECE ZA TRGOVINU I USLUGE U TRGOVNI;TRGOVI;00010;
7153546;REMONT PROMET;REMONT PROMET;00010;22.DECEMBAR 21
6030955;RIBOKOMBINAT MANIPULACIJA;RIBOKOMBINAT;00010;7JULI 48.
7153660;RIK RUDARSKO INDUSTRIJSKI KOMBINAT;KOMBINAT;00010;
6016278;ZANATSKA ZADRUGA  PROGRES;PROGRES;00010;
6993222;AUTOREMONT;AUTOREMONT;00010;
7107072;MEHANIKA FABRIKA GRADJEVINSKIHIRUDARSKIHA;MEHANIKA;00010;
2016753;RO ZA PROIZVODNJU I PRODAJU MERMERA;MERMER;00015;B.DELETICA 5
6709893;RO POLIMKA OOUR GALANTERIJA;POLIMKA;00015;BUL.EDVARDA KARDELJA 3
2009161;1 MAJ TROVINSKO PREDUZECE NA MALO I VELI;1 MAJ;00015;BRANKA DELETICA 13
6401236;APATIN TRANS;APATIN TRANS;00020;POPOVSKA 13
8027609;BRODOGRADILISTE-BORIS KIDRIC;BRODOGRADILISTE;00020;DUNAVSKA OBALA
8027706;MARKO-ORESKOVIC;MARKO;00020;
7258895;BUKOVICKA BANJA;KOMERC;00022;INDUSTRIJSKA ZONA
7113099;BUKOVICKA BANJA;TRANSPORT;00022;
7113145;BUKOVICKA BANJA;ZDANJE;00022;
7250304;DUSAN PETROVIC;DUSAN PETROVIC;00022;VOJINA GAJICA 39
7122802;RADIO NOVINSKA ORGANIZACIJA;SUMADIJA;00022;
7114141;ELEKTROPORCELAN;ELEKTROPORCELAN;00022;
7113226;TRGOVINSKA RADNA ORGANIZACIJA NA MALO;TRGOVINA;00022;M TITA 73
6026281;NIKOLIC MILENA KERAMICARSKA RADNJA;NIKOLIC;00022;
7113129;STANDARD RO ZA IZGRADNJU GRADJEVINSKI OA;STANDARD;00001;
7236492;STRELA;STRELA;00001;MOSA PIJADE
7114052;SAMOT ARANDJELOVAC;SAMOT;00001;
7261179;FASIL  FAPROM205-97114-37;FASIL;00024;
7250819;TEHNICKA SKOLA;TEHNICKAI CENTAR;00024;VOJVODE MISICA
7188234;PIONIR RO ZA PRERADU I OBRADU METALA;PIONIR;00024;MILOSA GLISICA BB.
7110839;PROLETER PREDUZECE ZA PROIZVODNJU ELEKTA;PROLETER;00024;SVETOLIKA LAZAREVICA
6028144;SITARA;SITARA;00024;
7210086;VODOGRADNJA GRADJEVINSKO KOMUNALNA RO;VODOGRADNJA;00024;VOJVODE MISICA
6101097;ANICIC ZIVADIN;ANICIC ZIVADIN;00030;
6714862;ARSENIJEVIC ZIVOSLAV;ZIVOSLAV;00030;
6707173;BABANIC ZIVOMIR;BABANIC ZIVOMIR;00030;
6714161;COSIC PETAR;PETAR;00030;
6900976;COSIC VITOMIR;COSIC;00030;
6003761;GROMOVIC DOBRIVOJE;GROMOVIC;00030;
6005594;JELIC BORISLAV;JELIC;00030;
6010148;MATEJIC SLOBODAN;MATEJIC;00030;
6718981;MESNA ZAJEDNICA AZANJA;MESNA ZAJEDNICA;00030;
6715907;MILOSAVLJEVIC MILIJA;MILIJA;00030;MARSALA TITA 63
6014003;ZEMLJORADNICKA ZADRUGA AZANJA;ZADRUGA;00030;
7231709;ELMOT-PAL 908-20001-18-8888-43090577;ELMOT;02450;MARSALA TITA
7203748;KOMUNALAC KOMUNALNA USLUZNA RADNA ORGANA;KOMUNALAC;00036;MARSALA TITA
7106297;LUZNICA HEMIJSKA INDUSTRIJA;LUZNICA HEMIJSKA;00036;MARSALA TITA 41
6200893;6 SEPTEMBAR;6 SEPTEMBAR;00036;BULEVAR VOJVODE MISICA 43
8058288;POLABDUNJACA MOSTOVNA;POLABUDNJACA;00037;ZELEZNICKA bb.
