SM;MAGACIN
52;SRAFOVSKA ROBA
41;GOTOVA ROBA I ODLIVCI
64;ELEKTRO ODRZAVANJE
56;ELEKTRO MAT. ODRZAVANJA -5C
58;114 - GRANA
51;ALATNICA REDUKTORI
46;ALATNICA OPREMA - 56 R.J.
45;ALATNICA OPREMA - 55 R.J.
55;GORIVO I MAZIVO
44;ALATNICA OPREMA - 51 R.J.
54;BOJA I LAKOVA  5F
53;MAGACIN U ODRZAVANJU M.DELOVA -5A
57;ALAT NA ZALIHAMA
50;ALATNICA ODRZAVANJA
77;MAG - TEST
60;TAMNAVA
59;MAGACIN ELEKTRODA
70;MAG. EVIDENTNE ROBE
81;MAGACIN GOTOVE ROBE NNOVO
71;MAGACIN 41
72;MAGACIN 52
73;MAGACIN 53
76;MAGACIN 56
74;MAGACIN 64
79;MAGACIN 59
78;MAGACIN 58
88;MAGACIN OSNONVNOG MATERIJALA NNOVO
84;NOVI MAGACIN MASINSKOG I EL. ODRZAVANJA
91;MAGACIN(POR 03-25...,03-50)-Gotova roba
94;MAGACIN MAS. I ELEKTRO ODRZAVANJA
98;MAGACIN OSNOVNOG MAT.(POR 03-25..,03-50
47;ALATNICA REDUKTORA
48;ALATNICA ODRZAVANJA
