SM;SIFRA_M;KONTO;CENA;KOLICINA;VREDNOST;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;ST_MAG
41;111130005;101000;3;331;993;331;993;0;0;0;0;331;993;0
41;111130007;101000;748.45;34;25447.3;34;25447.3;0;0;0;0;34;25447.3;0
41;111130018;101000;995;2;1990;2;1990;0;0;0;0;2;1990;0
41;111310003;101000;81.9;1700;139230;1700;139230;0;0;0;0;1700;139230;0
41;111720003;101000;639.76;26.1;16697.66;26.1;16697.66;0;0;0;0;26.1;16697.66;0
41;112120001;101000;3;246;738;246;738;0;0;0;0;246;738;0
41;112930289;101000;397.7;5;1988.5;5;1988.5;0;0;0;0;5;1988.5;0
41;112950027;101000;3570;0.9;3213;0.9;3213;0;0;0;0;0.9;3213;0
41;112950028;101000;2875;0.7;2012.5;0.7;2012.5;0;0;0;0;0.7;2012.5;0
41;115250001;101000;12;184;2208;184;2208;0;0;0;0;184;2208;0
41;116110217;101000;456.15;3;1368.45;3;1368.45;0;0;0;0;3;1368.45;0
41;116130007;101000;318.69;17;5417.74;17;5417.74;0;0;0;0;17;5417.74;0
41;171100253;101000;720;1;720;1;720;0;0;0;0;1;720;0
41;171100395;101000;3840;4;15360;4;15360;0;0;0;0;4;15360;0
41;171200753;101000;30481.66;3;91444.99;3;91444.99;0;0;0;0;3;91444.99;0
41;171201004;101000;123487.18;1;123487.18;1;123487.18;0;0;0;0;1;123487.18;0
41;171201091;101000;8370;1;8370;1;8370;0;0;0;0;1;8370;0
41;171201098;101000;21390;1;21390;1;21390;0;0;0;0;1;21390;0
41;171201102;101000;18910;1;18910;1;18910;0;0;0;0;1;18910;0
41;171201377;101000;133455;19;2535645;19;2535645;0;0;0;0;19;2535645;0
41;171201394;101000;69120;1;69120;1;69120;0;0;0;0;1;69120;0
41;171201475;101000;134400;6;806400;6;806400;0;0;0;0;6;806400;0
41;171201639;101000;36000;2;72000;2;72000;0;0;0;0;2;72000;0
41;171201648;101000;41480;1;41480;1;41480;0;0;0;0;1;41480;0
41;171201678;101000;55800;2;111600;2;111600;0;0;0;0;2;111600;0
41;171701492;101000;36650;4;146600;4;146600;0;0;0;0;4;146600;0
41;171701735;101000;4500.14;4;18000.57;4;18000.57;0;0;0;0;4;18000.57;0
41;171702221;101000;840;336;282240;336;282240;0;0;0;0;336;282240;0
