M_G;NT1;NT2;NT3;NT4;NT5;NT6;BR1;BR2;BR3;BR4;P1;P2;P3;P4;STOPA1;STOPA2;STOPA3;STOPA4;STOPA5;STOPA6;STOPA7;STOPA8;STOPA9;I1;I2;I3;I4;I5;I6;KONTR;STOPAZ1;STOPAZ2;STOPAZ3;STOPAZ4;STOPAZ5;STOPAZ6;STOPAZ7;STOPAZ8;I22;I23;I24;I25;I26;I32;I33;I34;I35;I36;I42;I43;I44;I45;I46;I52;I53;I54;I55;I56;I62;I63;I64;I65;I66;I72;I73;I74;I75;I76;I82;I83;I84;I85;I86;I92;I93;I94;I95;I96;I7;I8;I9;MESEC;IZNOS1;IZNOS2
0113;18865.9;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;0.12;28683.14;0;0;1.426533523;115;28683.14;28683.14;28683.14;15;28683.14;28683.14;28683.14;0;0;0;;;;;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0213;16405.1;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;0.12;24745.9;0;0;1.426533523;115;24745.9;24745.9;24745.9;15;24745.9;24745.9;24745.9;0;0;0;;;;;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;24745.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0313;17225.35;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;0.12;26058.31;0;0;1.426533523;115;26058.31;26058.31;26058.31;15;26058.31;26058.31;26058.31;0;0;0;;;;;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;26058.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0413;18045.6;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;0.12;27370.72;0;0;1.426533523;115;27370.72;27370.72;27370.72;15;27370.72;27370.72;27370.72;0;0;0;;;;;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;27370.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0513;18865.9;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;0.1;28683.14;0;0;1.426533523;115;28683.14;28683.14;28683.14;15;28683.14;28683.14;28683.14;0;0;0;;;;;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;28683.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0613;16405.1;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;0.1;24365.19;0;0;1.426533523;115;24365.19;24365.19;24365.19;15;24365.19;24365.19;24365.19;0;0;0;;;;;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;24365.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0713;18865.9;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;0.1;28302.42;0;0;1.426533523;115;28302.42;28302.42;28302.42;15;28302.42;28302.42;28302.42;0;0;0;;;;;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0813;18045.6;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;0.1;26990.01;0;0;1.426533523;115;26990.01;26990.01;26990.01;15;26990.01;26990.01;26990.01;0;0;0;;;;;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;26990.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0913;17225.35;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;0.1;25677.6;0;0;1.426533523;115;25677.6;25677.6;25677.6;15;25677.6;25677.6;25677.6;0;0;0;;;;;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;25677.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1013;18865.9;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;0.1;28302.42;0;0;1.426533523;115;28302.42;28302.42;28302.42;15;28302.42;28302.42;28302.42;0;0;0;;;;;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;28302.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
