"MBRD,C,7","RBVP,C,3","SLOV,C,1","SATI,N,6,2","IZNO,N,14,3","PERC,N,14,4","KOEF,N,12,3","POK2,C,1","RBRM,C,3","KESC,C,1","RBPS,C,2","P_R,C,1","RBMZ,C,4","RBOP,C,4","RBIM,C,3","RBTC,C,8","SIFK,C,5","SALD,N,10,2","STSALD,N,12,2","RATB,N,12,2","RATP,N,12,2","NEAK,N,12,3","REC,N,1,0","RBZA,C,1","GRAD,C,10","KPREB,N,5,3","LPREB,N,5,3","PART,C,30","HKMB,C,7","MRBTC,C,8","POROSL,N,10,2","NAZI,C,20"
0000939,090,T,0,838.945,0,,K,005,R,03,U,,,930,32210000,,,,,,,,,,,,,0000939,,,
0001008,090,T,0,982.296,0,,K,005,R,03,P,,,930,32260000,,,,,,,,,,,,,0001008,,,
0002596,090,T,0,995.881,0,,K,015,R,08,R,,,930,22200000,,,,,,,,,,,,,0002596,,,
0002824,090,T,0,975.462,0,,K,005,R,03,U,,,997,32290000,,,,,,,,,,,,,0002824,,,
0003009,090,T,0,0,0,,K,005,R,03,P,,,980,32230000,,,,,,,,,,,,,0005290,,,
0003117,090,T,0,824.966,0,,K,005,R,07,R,,,920,32310000,,,,,,,,,,,,,0003117,,,
0003641,090,T,0,926.745,0,,K,003,R,06,R,,,992,32400000,,,,,,,,,,,,,0001611,,,
0003645,090,T,0,0,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0001613,,,
0003671,090,T,0,0,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0001619,,,
0003701,090,T,0,0,0,,K,004,R,03,U,,,930,32260000,,,,,,,,,,,,,0005359,,,
0003789,090,T,0,869.448,0,,K,009,R,06,U,,,920,33100000,,,,,,,,,,,,,0005370,,,
0003981,090,T,0,846.739,0,,K,005,R,03,U,,,997,32340000,,,,,,,,,,,,,0001667,,,
0004013,090,T,0,825.585,0,,K,005,R,06,R,,,930,32210000,,,,,,,,,,,,,0001675,,,
