"SIFK","IMEK","SEDI","ZRAC","POBR","PART","GRUP","ZAJED","KONT1","ANSI1","ZNAK1","MBKO1","KONT2","ANSI2","ZNAK2","MBKO2","KONT3","ANSI3","ZNAK3","MBKO3","KONT4","ANSI4","ZNAK4","MBKO4"
102,ELKOM,BEOGRAD,265-1100310003013-31,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
103,"SINDIKAT ""NEZAVISNOST""FOM",S. PALANKA,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
104,SPR PERECA PLUS,KRAGUJEVAC,330-23000848-47,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
112,SOCIETE GRNERALE BANKA,BEOGRAD,275001124923488835,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
111,SMARTPHONE SHOP,BEOGRAD,165-0007007765023-73,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
110,KASMIR RELAKS GOLD D.O.O.,BEOGRAD,220-125986-46,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
109,STKR JELENA,SMED.PALANKA,180-1331820000686-91,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
108,GOSA STAN,SM.PALANKA,160-68513-80,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
114,UNICREDIT BANK,BEOGRAD,170-10157832010-25,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
113,PLANA TOURS D.O.O.,VELIKA PLANA,205-29471-42,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
107,PIARO D.O.O.,CACAK,160-364252-25,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
106,VOJVODJANSKA BANKA A.D.,NOVI SAD,325911060005500736,,911060005507,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
105,STRUJA-FOM,S.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
300,ELEKTROMORAVA,SMED.PALANKA,845-0000000239849-96,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
003,DIREKTNA BANKA,BEOGRAD,150006140269723657,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
004,SAM.SINDIKAT UGALJ,SMED.PALANKA,160-45960-33,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
005,MT:S-FOM,SMED.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
006,IZVOR STIL D00,SMED. PALANKA,265-6650310000169-19,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
007,GOSA STAN,,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
009,RAIFFEISEN BANKA,BEOGRAD,265-1710320000001-66,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
010,OTR MIMANERA OPTIK,RAKOVICA,200-2551130102869-64,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
011,OTP BANKA SRBIJE,NOVI SAD,325-0049040006116-15,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
012,MEGAMARKET DOO,SMED. PALANKA,205-67555-56,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
013,POVRACAJ AKONTACIJE,,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
014,SQUADRA-NENAD,SMED.PALANKA,170-50016910000-85,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
016,GALERIJA PODOVA,BACKA PALANKA,170-300411506-62,,54-71-21,FALSE,TRUE,000000,,1,,000000,,1,,000000,,1,,000000,,1,
018,SAM.SINDIKAT GOSA,SM.PALANKA,160-125173-44,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
019,"STKR""NALE-SPORT""",SMED.PALANKA,205-44377-41,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
020,UNICREDIT BANKA,BEOGRAD,170-10274653026-14,,1020369516,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
021,EUROBANKA DIREKTNA,BEOGRAD,250-0000000079550-70,,1610723RSD000462,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
900,REDOVNE NEOPRAVDANE AKONTACIJE,SMED.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
901,VANREDNE AKONTACIJE,SMED.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
150,BLAGAJNA-FOM,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
001,DDOR NOVI SAD,NOVI SAD,265-2010310006174-63,,796484301,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
022,"STKR""DAMBO""",SM.PALANKA,200-2795020101887-30,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
024,SOCIETE GENERALE BANKA,BEOGRAD,275-0011101825944-84,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
017,UNICREDIT BANKA,BEOGRAD,170-10274653027-11,,1020392402,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
023,UNICREDIT BANKA,BEOGRAD,170-10439077005-43,,1020341448,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
