MBRD,RBVP,SLOV,SATI,IZNO,PERC,KOEF,RJ,BRIG,POK2,RBTC,KONT,RBKO
0000800,001,A,168,0,0,103892.72,202,00800,G,32320000,,
0000800,002,G,18,0,0,103892.72,202,00800,K,32320000,,
0000800,019,L,186,0,0,103892.72,202,00800,I,32320000,,
0000939,001,A,167,0,0,68229.39,301,00000,G,32210000,,
0000939,002,G,57,0,0,68229.39,301,00000,K,32210000,,
0000939,007,E,100,0,0,68229.39,301,00000,K,32210000,,
0000939,017,O,1,0,0,68229.39,301,00000,K,32210000,,
0000939,019,L,224,0,0,68229.39,301,00000,I,32210000,,
0001008,001,A,168,0,0,91053.92,306,01008,G,32260000,,
0001008,002,G,37,0,0,91053.92,306,01008,K,32260000,,
0001008,019,L,205,0,0,91053.92,306,01008,I,32260000,,
0001701,001,A,96,0,0,76788.59,306,01701,G,32250000,,
0001701,002,G,30,0,0,76788.59,306,01701,K,32250000,,
0001701,009,O,72,0,0,76788.59,306,01701,G,32250000,,
0001701,019,L,126,0,0,76788.59,306,01701,I,32250000,,
0002596,001,A,168,0,0,111369.47,300,00000,G,22200000,,
0002596,002,G,20,0,0,111369.47,300,00000,K,22200000,,
0002596,019,L,160,0,0,111369.47,300,00000,I,22200000,,
0002824,001,A,168,0,0,73935.52,309,00000,G,32290000,,
0002824,002,G,76,0,0,73935.52,309,00000,K,32290000,,
0002824,007,E,40,0,0,73935.52,309,00000,K,32290000,,
0002824,008,E,40,0,0,73935.52,309,00000,K,32290000,,
0002824,019,L,244,0,0,73935.52,309,00000,I,32290000,,
0002844,001,A,168,0,0,118158.06,304,02844,G,32240000,,
0002844,002,G,24,0,0,118158.06,304,02844,K,32240000,,
0002844,019,L,192,0,0,118158.06,304,02844,I,32240000,,
0002999,001,A,168,0,0,91053.92,602,02999,G,32120000,,
0002999,002,G,91,0,0,91053.92,602,02999,K,32120000,,
0002999,019,L,259,0,0,91053.92,602,02999,I,32120000,,
0003038,001,A,96,0,0,103892.72,305,03038,G,32250000,,
0003038,002,G,48,0,0,103892.72,305,03038,K,32250000,,
0003038,009,O,72,0,0,103892.72,305,03038,G,32250000,,
0003038,019,L,144,0,0,103892.72,305,03038,I,32250000,,
0003068,001,A,168,0,0,91053.92,306,03068,G,32260000,,
0003068,002,G,48,0,0,91053.92,306,03068,K,32260000,,
0003068,019,L,216,0,0,91053.92,306,03068,I,32260000,,
0003074,001,A,168,0,0,113878.46,301,00000,G,32210000,,
0003074,002,G,28,0,0,113878.46,301,00000,K,32210000,,
0003074,019,L,196,0,0,113878.46,301,00000,I,32210000,,
0003099,001,A,120,0,0,150968.33,200,00000,G,21000000,,
0003099,014,O,0,0,48,150968.33,200,00000,G,21000000,,
0003099,019,L,120,0,0,150968.33,200,00000,I,21000000,,
0003117,001,A,168,0,0,92480.46,201,00000,G,32310000,,
0003117,002,G,12,0,0,92480.46,201,00000,K,32310000,,
0003117,019,L,180,0,0,92480.46,201,00000,I,32310000,,
0003595,001,A,168,0,0,71082.45,500,00000,G,32210000,,
0003595,002,G,38,0,0,71082.45,500,00000,K,32210000,,
0003595,007,E,40,0,0,71082.45,500,00000,K,32210000,,
0003595,019,L,206,0,0,71082.45,500,00000,I,32210000,,
0003641,001,A,168,0,0,103892.72,407,00000,G,32400000,,
0003641,002,G,12,0,0,103892.72,407,00000,K,32400000,,
0003641,019,L,180,0,0,103892.72,407,00000,I,32400000,,
0003789,001,A,160,0,0,82494.72,800,00000,G,33100000,,
0003789,002,G,39,0,0,82494.72,800,00000,K,33100000,,
0003789,010,O,8,0,0,82494.72,800,00000,G,33100000,,
0003789,019,L,199,0,0,82494.72,800,00000,I,33100000,,
0003981,001,A,192,0,0,82494.72,204,00000,G,32340000,,
0003981,004,B,64,0,0,82494.72,204,00000,K,32340000,,
0003981,019,L,192,0,0,82494.72,204,00000,I,32340000,,
0004013,001,A,164,0,0,72508.99,301,00000,G,32210000,,
0004013,002,G,56,0,0,72508.99,301,00000,K,32210000,,
0004013,017,O,4,0,0,72508.99,301,00000,K,32210000,,
0004013,019,L,220,0,0,72508.99,301,00000,I,32210000,,
0004021,001,A,168,0,0,50000,101,00000,G,10000000,,
0004021,019,L,168,0,0,50000,101,00000,I,10000000,,
0004026,001,A,120,0,0,81068.19,400,00000,G,30000000,,
0004026,002,G,18,0,0,81068.19,400,00000,K,30000000,,
0004026,009,O,40,0,0,81068.19,400,00000,G,30000000,,
0004026,010,O,8,0,0,81068.19,400,00000,G,30000000,,
0004026,019,L,38,0,0,81068.19,400,00000,I,30000000,,
0004086,001,A,168,0,0,95333.52,900,00000,G,41000000,,
0004086,019,L,168,0,0,95333.52,900,00000,I,41000000,,
0004139,001,A,168,0,0,76788.59,306,04139,G,32260000,,
0004139,002,G,94,0,0,76788.59,306,04139,K,32260000,,
0004139,019,L,262,0,0,76788.59,306,04139,I,32260000,,
0004162,001,A,88,0,0,75362.05,203,04162,G,32330000,,
0004162,004,B,32,0,0,75362.05,203,04162,K,32330000,,
0004162,012,C,88,0,0,75362.05,203,04162,G,32330000,,
0004162,019,L,88,0,0,75362.05,203,04162,I,32330000,,
0004166,001,A,120,0,0,71082.45,603,00000,G,31300000,,
0004166,010,O,8,0,0,71082.45,603,00000,G,31300000,,
0004166,012,C,40,0,0,71082.45,603,00000,G,31300000,,
0004166,019,L,120,0,0,71082.45,603,00000,I,31300000,,
0004202,001,A,168,0,0,50000,100,00000,G,10000000,,
0004202,019,L,168,0,0,50000,100,00000,I,10000000,,
0004208,001,A,128,0,0,78215.12,305,04208,G,32250000,,
0004208,012,C,40,0,0,78215.12,305,04208,G,32250000,,
0004208,019,L,128,0,0,78215.12,305,04208,I,32250000,,
0004221,001,A,168,0,0,89627.39,300,00000,G,22200000,,
0004221,002,G,27,0,0,89627.39,300,00000,K,22200000,,
0004221,019,L,195,0,0,89627.39,300,00000,I,22200000,,
0004248,001,A,168,0,0,103892.72,202,04248,G,32320000,,
0004248,002,G,28,0,0,103892.72,202,04248,K,32320000,,
0004248,019,L,196,0,0,103892.72,202,04248,I,32320000,,
0004255,001,A,120,0,0,68229.39,307,04255,G,32320000,,
0004255,002,G,18,0,0,68229.39,307,04255,K,32320000,,
0004255,012,C,48,0,0,68229.39,307,04255,G,32320000,,
0004255,019,L,138,0,0,68229.39,307,04255,I,32320000,,
0004261,001,A,168,0,0,68229.39,307,04261,G,32270000,,
0004261,002,G,46,0,0,68229.39,307,04261,K,32270000,,
0004261,019,L,219,0,0,68229.39,307,04261,I,32270000,,
0004269,001,A,168,0,0,103892.72,305,04269,G,32250000,,
0004269,002,G,24,0,0,103892.72,305,04269,K,32250000,,
0004269,019,L,192,0,0,103892.72,305,04269,I,32250000,,
0004288,001,A,168,0,0,103892.72,202,04288,G,32320000,,
0004288,002,G,35,0,0,103892.72,202,04288,K,32320000,,
0004288,019,L,203,0,0,103892.72,202,04288,I,32320000,,
0004302,001,A,168,0,0,86774.32,604,00000,G,31400000,,
0004302,019,L,168,0,0,86774.32,604,00000,I,31400000,,
0004322,001,A,168,0,0,91053.92,202,04322,G,32320000,,
0004322,002,G,24,0,0,91053.92,202,04322,K,32320000,,
0004322,019,L,192,0,0,91053.92,202,04322,I,32320000,,
0004324,001,A,120,0,0,82494.72,302,04324,G,32220000,,
0004324,002,G,10,0,0,82494.72,302,04324,K,32220000,,
0004324,009,O,48,0,0,82494.72,302,04324,G,32220000,,
0004324,019,L,130,0,0,82494.72,302,04324,I,32220000,,
0004326,001,A,168,0,0,82494.72,303,04326,G,32230000,,
0004326,002,G,30,0,0,82494.72,303,04326,K,32230000,,
0004326,019,L,198,0,0,82494.72,303,04326,I,32230000,,
0004331,001,A,168,0,0,71082.45,407,00000,G,32400000,,
0004331,002,G,59,0,0,71082.45,407,00000,K,32400000,,
0004331,019,L,227,0,0,71082.45,407,00000,I,32400000,,
0004341,001,A,168,0,0,79641.65,603,00000,G,31300000,,
0004341,002,G,15,0,0,79641.65,603,00000,K,31300000,,
0004341,019,L,183,0,0,79641.65,603,00000,I,31300000,,
0004349,014,O,0,0,168,82494.72,302,04349,G,32220000,,
0004354,001,A,168,0,0,65091.01,405,00000,G,42000000,,
0004354,019,L,168,0,0,65091.01,405,00000,I,42000000,,
0004366,001,A,96,0,0,113878.46,302,04366,G,32220000,,
0004366,002,G,42,0,0,113878.46,302,04366,K,32220000,,
0004366,007,E,40,0,0,113878.46,302,04366,K,32220000,,
