MBRD;RBVP;SLOV;SATI;IZNO;PERC;DATUM;POK2
0004611;065;T;0;5000;0;;K
0004914;065;T;0;0;0;;K
0004914;065;T;0;0;0;;K
0005084;065;T;0;5000;0;;K
0005371;065;T;0;5000;0;;K
0005371;065;T;0;5000;0;;K
0005639;065;T;0;10000;0;;K
0005639;065;T;0;10000;0;;K
0005875;065;T;0;9475.2;0;;K
0006076;065;T;0;10000;0;;K
0006096;065;T;0;10000;0;;K
0006129;065;T;0;5000;0;;K
0006216;065;T;0;8964;0;;K
0006238;065;T;0;5000;0;;K
0006485;065;T;0;5000;0;;K
0006514;065;T;0;10000;0;;K
0006519;065;T;0;5000;0;;K
0006519;065;T;0;5000;0;;K
0006519;065;T;0;5000;0;;K
0006526;065;T;0;10000;0;;K
0006526;065;T;0;5000;0;;K
0006526;065;T;0;10597;0;;K
0006559;065;T;0;6000;0;;K
0006577;065;T;0;6000;0;;K
0006577;065;T;0;6000;0;;K
0006577;065;T;0;2430;0;;K
0006642;065;T;0;5000;0;;K
0006655;065;T;0;5000;0;;K
0006655;065;T;0;5000;0;;K
0006659;065;T;0;5000;0;;K
0006676;065;T;0;10000;0;;K
0006699;065;T;0;10000;0;;K
0008235;065;T;0;5000;0;;K
0008235;065;T;0;5000;0;;K
0008235;065;T;0;5000;0;;K
0008235;065;T;0;5000;0;;K
0009673;065;T;0;10000;0;;K
0000939;090;T;0;0;0;;K
0001008;090;T;0;0;0;;K
0002596;090;T;0;0;0;;K
0002824;090;T;0;0;0;;K
0003009;090;T;0;0;0;;K
0003117;090;T;0;0;0;;K
0003641;090;T;0;0;0;;K
0003645;090;T;0;0;0;;K
0003671;090;T;0;0;0;;K
0003701;090;T;0;0;0;;K
0003789;090;T;0;0;0;;K
0003981;090;T;0;0;0;;K
0004013;090;T;0;0;0;;K
0004021;090;T;0;0;0;;K
0004137;090;T;0;0;0;;K
0004162;090;T;0;0;0;;K
0004166;090;T;0;0;0;;K
0004202;090;T;0;0;0;;K
0004221;090;T;0;0;0;;K
0004247;090;T;0;0;0;;K
0004248;090;T;0;0;0;;K
0004255;090;T;0;0;0;;K
0004261;090;T;0;0;0;;K
0004288;090;T;0;0;0;;K
0004324;090;T;0;0;0;;K
0004331;090;T;0;0;0;;K
0004341;090;T;0;0;0;;K
0004349;090;T;0;0;0;;K
0004354;090;T;0;0;0;;K
0004366;090;T;0;0;0;;K
0004392;090;T;0;0;0;;K
0004393;090;T;0;0;0;;K
0004396;090;T;0;0;0;;K
0004397;090;T;0;0;0;;K
0004430;090;T;0;0;0;;K
0004434;090;T;0;0;0;;K
0004463;090;T;0;0;0;;K
0004473;090;T;0;0;0;;K
0004479;090;T;0;0;0;;K
0004485;090;T;0;0;0;;K
0004496;090;T;0;0;0;;K
0004504;090;T;0;0;0;;K
0004510;090;T;0;0;0;;K
0004513;090;T;0;0;0;;K
0004514;090;T;0;0;0;;K
0004515;090;T;0;0;0;;K
0004525;090;T;0;0;0;;K
0004532;090;T;0;0;0;;K
0004548;090;T;0;0;0;;K
0004553;090;T;0;0;0;;K
0004560;090;T;0;0;0;;K
0004583;090;T;0;0;0;;K
0004586;090;T;0;0;0;;K
0004611;090;T;0;0;0;;K
0004618;090;T;0;0;0;;K
0004623;090;T;0;0;0;;K
0004634;090;T;0;0;0;;K
0004638;090;T;0;0;0;;K
0004657;090;T;0;0;0;;K
0004668;090;T;0;0;0;;K
0004669;090;T;0;0;0;;K
0004693;090;T;0;0;0;;K
0004694;090;T;0;0;0;;K
0004695;090;T;0;0;0;;K
0004699;090;T;0;0;0;;K
0004701;090;T;0;0;0;;K
0004721;090;T;0;0;0;;K
0004722;090;T;0;0;0;;K
0004723;090;T;0;0;0;;K
0004729;090;T;0;0;0;;K
0004730;090;T;0;0;0;;K
0004739;090;T;0;0;0;;K
0004743;090;T;0;0;0;;K
0004763;090;T;0;0;0;;K
0004769;090;T;0;0;0;;K
0004773;090;T;0;0;0;;K
0004791;090;T;0;0;0;;K
0004836;090;T;0;0;0;;K
0004845;090;T;0;0;0;;K
0004846;090;T;0;0;0;;K
0004864;090;T;0;0;0;;K
0004890;090;T;0;0;0;;K
0004897;090;T;0;0;0;;K
0004905;090;T;0;0;0;;K
0004908;090;T;0;0;0;;K
0004912;090;T;0;0;0;;K
0004914;090;T;0;0;0;;K
0004921;090;T;0;0;0;;K
0004929;090;T;0;0;0;;K
0004934;090;T;0;0;0;;K
0004949;090;T;0;0;0;;K
0005030;090;T;0;0;0;;K
0005084;090;T;0;0;0;;K
0005098;090;T;0;0;0;;K
0005134;090;T;0;0;0;;K
0005137;090;T;0;0;0;;K
0005154;090;T;0;0;0;;K
0005164;090;T;0;0;0;;K
0005186;090;T;0;0;0;;K
0005189;090;T;0;0;0;;K
0005202;090;T;0;0;0;;K
0005224;090;T;0;0;0;;K
0005226;090;T;0;0;0;;K
0005245;090;T;0;0;0;;K
0005255;090;T;0;0;0;;K
0005261;090;T;0;0;0;;K
0005266;090;T;0;0;0;;K
0005275;090;T;0;0;0;;K
0005278;090;T;0;0;0;;K
0005312;090;T;0;0;0;;K
0005314;090;T;0;0;0;;K
0005315;090;T;0;0;0;;K
0005318;090;T;0;0;0;;K
0005325;090;T;0;0;0;;K
0005330;090;T;0;0;0;;K
0005342;090;T;0;0;0;;K
0005362;090;T;0;0;0;;K
0005371;090;T;0;0;0;;K
0005377;090;T;0;0;0;;K
0005390;090;T;0;0;0;;K
0005431;090;T;0;0;0;;K
0005484;090;T;0;0;0;;K
0005505;090;T;0;0;0;;K
0005509;090;T;0;0;0;;K
0005519;090;T;0;0;0;;K
0005524;090;T;0;0;0;;K
0005536;090;T;0;0;0;;K
0005538;090;T;0;0;0;;K
0005541;090;T;0;0;0;;K
0005548;090;T;0;0;0;;K
0005554;090;T;0;0;0;;K
0005565;090;T;0;0;0;;K
0005566;090;T;0;0;0;;K
0005567;090;T;0;0;0;;K
0005571;090;T;0;0;0;;K
0005572;090;T;0;0;0;;K
0005577;090;T;0;0;0;;K
0005600;090;T;0;0;0;;K
0005605;090;T;0;0;0;;K
0005607;090;T;0;0;0;;K
0005609;090;T;0;0;0;;K
0005617;090;T;0;0;0;;K
0005624;090;T;0;0;0;;K
0005631;090;T;0;0;0;;K
0005635;090;T;0;0;0;;K
0005638;090;T;0;0;0;;K
0005641;090;T;0;0;0;;K
0005642;090;T;0;0;0;;K
0005653;090;T;0;0;0;;K
0005680;090;T;0;0;0;;K
0005682;090;T;0;0;0;;K
0005683;090;T;0;0;0;;K
0005689;090;T;0;0;0;;K
0005692;090;T;0;0;0;;K
0005703;090;T;0;0;0;;K
0005706;090;T;0;0;0;;K
0005707;090;T;0;0;0;;K
0005709;090;T;0;0;0;;K
0005713;090;T;0;0;0;;K
0005714;090;T;0;0;0;;K
0005723;090;T;0;0;0;;K
0005724;090;T;0;0;0;;K
0005726;090;T;0;0;0;;K
0005731;090;T;0;0;0;;K
0005735;090;T;0;0;0;;K
0005737;090;T;0;0;0;;K
0005750;090;T;0;0;0;;K
0005795;090;T;0;0;0;;K
0005797;090;T;0;0;0;;K
0005801;090;T;0;0;0;;K
0005821;090;T;0;0;0;;K
0005832;090;T;0;0;0;;K
0005866;090;T;0;0;0;;K
0005875;090;T;0;0;0;;K
0005901;090;T;0;0;0;;K
0005919;090;T;0;0;0;;K
0005920;090;T;0;0;0;;K
0005922;090;T;0;0;0;;K
0005946;090;T;0;0;0;;K
0005978;090;T;0;0;0;;K
0005979;090;T;0;0;0;;K
0005999;090;T;0;0;0;;K
0006010;090;T;0;0;0;;K
0006012;090;T;0;0;0;;K
0006025;090;T;0;0;0;;K
0006075;090;T;0;0;0;;K
0006099;090;T;0;0;0;;K
0006134;090;T;0;0;0;;K
0006216;090;T;0;0;0;;K
0006234;090;T;0;0;0;;K
0006264;090;T;0;0;0;;K
0006293;090;T;0;0;0;;K
0006400;090;T;0;0;0;;K
0006444;090;T;0;0;0;;K
0006450;090;T;0;0;0;;K
0006469;090;T;0;0;0;;K
0006484;090;T;0;0;0;;K
0006500;090;T;0;0;0;;K
0006505;090;T;0;0;0;;K
0006526;090;T;0;0;0;;K
0006549;090;T;0;0;0;;K
0006559;090;T;0;0;0;;K
0006571;090;T;0;0;0;;K
0006587;090;T;0;0;0;;K
0006616;090;T;0;0;0;;K
0006620;090;T;0;0;0;;K
0006724;090;T;0;0;0;;K
0007484;090;T;0;0;0;;K
0007777;090;T;0;0;0;;K
0007905;090;T;0;0;0;;K
0008318;090;T;0;0;0;;K
0008523;090;T;0;0;0;;K
0009185;090;T;0;0;0;;K
0009188;090;T;0;0;0;;K
0009197;090;T;0;0;0;;K
0009230;090;T;0;0;0;;K
0009233;090;T;0;0;0;;K
0009297;090;T;0;0;0;;K
0009326;090;T;0;0;0;;K
0009354;090;T;0;0;0;;K
0009363;090;T;0;0;0;;K
0009480;090;T;0;0;0;;K
0009611;090;T;0;0;0;;K
0009622;090;T;0;0;0;;K
0009672;090;T;0;0;0;;K
0009673;090;T;0;0;0;;K
0009674;090;T;0;0;0;;K
0009678;090;T;0;0;0;;K
0009699;090;T;0;0;0;;K
0009840;090;T;0;0;0;;K
0009859;090;T;0;0;0;;K
0009891;090;T;0;0;0;;K
0009895;090;T;0;0;0;;K
0010288;090;T;0;0;0;;K
0010304;090;T;0;0;0;;K
0004269;098;T;0;0;0;;K
0004322;098;T;0;0;0;;K
0004371;098;T;0;0;0;;K
0004486;098;T;0;0;0;;K
0004677;098;T;0;0;0;;K
0004698;098;T;0;0;0;;K
0004719;098;T;0;0;0;;K
0005317;098;T;0;0;0;;K
0005336;098;T;0;0;0;;K
0005574;098;T;0;0;0;;K
0005592;098;T;0;0;0;;K
0005688;098;T;0;0;0;;K
0005336;503;T;0;0;20;;K
0005653;503;T;0;0;22;;K
0006076;503;T;0;0;30;;K
0005154;504;T;0;9000;0;;K
0005639;504;T;0;15000;0;;K
0005793;504;T;0;10000;0;;K
0006497;504;T;0;24000;0;;K
0009480;504;T;0;3546;0;;K
