sifra;redni_broj;naziv_opstine;sifra_sa_kontrolnim_brojem
201;001;Ada;77-201
001;002;Aleksandrovac;95-001
002;003;Aleksinac;92-002
202;004;Alibunar;74-002
203;005;Apatin;71-203
003;006;Aranđelovac;89-003
004;007;Arilje;86-004
006;008;Babušnica;80-006
007;009;Bajina Bašta;77-007
010;010;Barajevo;68-010
008;011;Batočina;74-008
204;012;Bač;68-204
205;013;Bačka Palanka;65-205
206;014;Bačka Topola;62-206
207;015;Bački Petrovac;59-207
009;016;Bela Palanka;71-009
209;017;Bela Crkva;53-209
210;018;Beočin;50-210
208;019;Bečej;56-208
023;020;Blace;29-023
024;021;Bogatić;26-024
025;022;Bojnik;23-025
026;023;Boljevac;20-026
027;024;Bor;17-027
028;025;Bosilegrad;14-028
029;026;Brus;11-029
030;027;Bujanovac;08-030
107;028;Valjevo;68-107
108;029;Varvarin;65-108
109;030;Velika Plana;62-109
110;031;Veliko Gradište;59-110
321;032;Vitina;08-321
112;033;Vladimirci;53-112
111;034;Vladičin Han;56-111
113;035;Vlasotince;50-113
019;036;Voždovac;41-019
114;037;Vranje;47-114
020;038;Vračar;38-020
240;039;Vrbas;57-240
115;040;Vrnjačka Banja;44-115
241;041;Vršac;54-241
322;042;Vučitrn;05-322
039;043;Gadžin Han;78-039
304;044;Glogovac;59-304
305;045;Gnjilane;56-305
040;046;Golubac;75-040
331;047;Gora;75-331
041;048;Gornji Milanovac;72-041
012;049;Grocka;62-012
036;050;Despotovac;87-036
301;051;Dečani;68-301
037;052;Dimitrovgrad;84-037
038;053;Doljevac;81-038
303;054;Đakovica;62-303
243;055;Žabalj;48-243
117;056;Žabari;38-117
118;057;Žagubica;35
244;058;Žitište;45
119;059;Žitorađa;32
116;060;Zaječar;41
022;061;Zvezdara;32
330;062;Zvečan;78
021;063;Zemun;35
242;064;Zrenjanin;51
324;065;Zubin Potok;96
042;066;Ivanjica;69
212;067;Inđija;44
213;068;Irig;41
306;069;Istok;53
096;070;Jagodina;4
214;071;Kanjiža;38
307;072;Kačanik;50
215;073;Kikinda;35
043;074;Kladovo;66
308;075;Klina;47
044;076;Knić;63
045;077;Knjaževac;60
216;078;Kovačica;32
217;079;Kovin;29
048;080;Kosjerić;51
328;081;Kosovo Polje;84
309;082;Kosovska Kamenica;44
310;083;Kosovska Mitrovica;41
046;084;Koceljeva;57
049;085;Kragujevac;48
050;086;Kraljevo;45
051;087;Krupanj;42
052;088;Kruševac;39
0218;089;Kula;26
054;090;Kuršumlija;33
053;091;Kučevo;36
056;092;Lazarevac;27
055;093;Lajkovac;30
121;094;Lapovo;26
057;095;Lebane;24
311;096;Leposavić;38
058;097;Leskovac;21
312;098;Lipljan;35
059;099;Loznica;18
060;100;Lučani;15
061;101;Ljig;12
062;102;Ljubovija;9
063;103;Majdanpek;6
065;104;Mali Zvornik;97
219;105;Mali Iđoš;23
066;106;Malo Crniće;94
067;107;Medveđa;91
128;108;Mediana;5
068;109;Merošina;88
069;110;Mionica;85
070;111;Mladenovac;82
072;112;Negotin;76
122;113;Niška Banja;23
074;114;Nova Varoš;70
220;115;Nova Crnja;20
013;116;Novi Beograd;59
221;117;Novi Bečej;17
222;118;Novi Kneževac;14
075;119;Novi Pazar;67
223;120;Novi Sad;11
329;121;Novo Brdo;81
327;122;Obilić;87
014;123;Obrenovac;56
225;124;Opovo;5
313;125;Orahovac;32
076;126;Osečina;64
224;127;Odžaci;8
015;128;Palilula;53
127;129;Palilula (Niš);8
125;130;Pantelej;14
226;131;Pančevo;2
077;132;Paraćin;61
247;133;Petrovaradin;36
078;134;Petrovac na Mlavi;58
314;135;Peć;29
227;136;Pećinci;96
079;137;Pirot;55
228;138;Plandište;93
315;139;Podujevo;26-315
080;140;Požarevac;52-080
081;141;Požega;49-081
082;142;Preševo;46-082
083;143;Priboj na Limu;43-083
317;144;Prizren;20-317
084;145;Prijepolje;40-084
316;146;Priština;23-316
085;147;Prokuplje;37-085
088;148;Ražanj;28-088
120;149;Rakovica;29-120
086;150;Rača;34-086
087;151;Raška;31-087
089;152;Rekovac;25-089
229;153;Ruma;90-229
016;154;Savski venac;50-016
097;155;Svilajnac;98-097
098;156;Svrljig;95-098
231;157;Senta;84-231
230;158;Sečanj;87-230
091;159;Sjenica;19-091
092;160;Smederevo;16-092
093;161;Smederevska Palanka;13-093
094;162;Sokobanja;10-094
232;163;Sombor;81-232
017;164;Sopot;47-017
318;165;Srbica;17-318
233;166;Srbobran;78-233
234;167;Sremska Mitrovica;75-234
250;168;Sremski Karlovci;27-250
235;169;Stara Pazova;72-235
018;170;Stari grad;44-018
123;171;Stragari;20-123
236;172;Subotica;69-236
319;173;Suva Reka;14-319
095;174;Surdulica;07-095
124;175;Surčin;17-124
238;176;Temerin;63-238
239;177;Titel;60-239
101;178;Topola;86-101
102;179;Trgovište;83-102
103;180;Trstenik;80-103
104;181;Tutin;77-104
032;182;Ćićevac;02-032
033;183;Ćuprija;96-033
105;184;Ub;74-105
100;185;Užice;89-100
320;186;Uroševac;11-320
126;187;Crveni krst;11-126
031;188;Crna Trava;05-031
035;189;Čajetina;90-035
034;190;Čačak;93-034
211;191;Čoka;47-211
011;192;Čukarica;65-011
099;193;Šabac;92-099
237;194;Šid;66-237
325;195;Štimlje;93-325
326;196;Štrpce;90-326
